,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.9824999999999999,0.016955824957813195,0.9866666666666667,0.016329931618554516,0.9800000000000001,0.021908902300206663,0.9683467741935484,0.03423622185020542,0.9771495666358934,0.021800839775743503,0.9992000000000001,0.0009797958971132722
Random Forest,0.9800000000000001,0.012747548783981964,0.96,0.03265986323710904,0.992,0.009797958971132722,0.9866666666666667,0.01632993161855452,0.9727505203687186,0.01770258961701234,0.9994666666666667,0.0004988876515698454
Decision Tree,0.9500000000000002,0.013693063937629145,0.9466666666666669,0.03399346342395189,0.952,0.029933259094191512,0.9252340290955091,0.04499523035416657,0.9344494465937452,0.01685438503081402,0.9493333333333334,0.012892719737209134
SVM,0.9824999999999999,0.012747548783981964,0.9800000000000001,0.01632993161855452,0.984,0.014966629547095779,0.9739784946236559,0.024200954660877776,0.9768287487264982,0.016740968104842217,0.9993333333333334,0.0005962847939999775
XGBoost,0.9825000000000002,0.016955824957813195,0.9733333333333334,0.038873012632301994,0.9879999999999999,0.009797958971132722,0.9799539170506912,0.01641614113415379,0.9762596889940692,0.023507421930309528,0.9976,0.0032822756333576574
